"first_name","second_name","time","year","distance"
"Maria de Lurdes ","Mutola","1:56.15","2000","800-metres"
"Natalya ","Tsyganova","1:56.60","2000","800-metres"
"Stephanie ","Graf","1:56.64","2000","800-metres"
"Kelly ","Holmes","1:56.80","2000","800-metres"
"Olga ","Raspopova","1:56.85","2000","800-metres"
"Maria de Lurdes ","Mutola","1:56.90","2000","800-metres"
"Maria de Lurdes ","Mutola","1:56.98","2000","800-metres"
"Stephanie ","Graf","1:57.32","2000","800-metres"
"Stephanie ","Graf","1:57.34","2000","800-metres"
"Irina ","Mistyukevich","1:57.49","2000","800-metres"
"Ludmila ","Formanová","1:57.53","2000","800-metres"
"Stephanie ","Graf","1:57.56","2000","800-metres"
"Maria de Lurdes ","Mutola","1:57.65","2000","800-metres"
"Natalya ","Tsyganova","1:57.68","2000","800-metres"
"Olga ","Raspopova","1:57.70","2000","800-metres"
"Ludmila ","Formanová","1:57.72","2000","800-metres"
"Natalya ","Tsyganova","1:57.83","2000","800-metres"
"Olga ","Raspopova","1:57.98","2000","800-metres"
"Irina ","Mistyukevich","1:58.01","2000","800-metres"
"Natalya ","Tsyganova","1:58.04","2000","800-metres"
"Maria de Lurdes ","Mutola","1:58.06","2000","800-metres"
"Regina ","Jacobs","1:58.08","2000","800-metres"
"Suzy ","Favor Hamilton","1:58.10","2000","800-metres"
"Olga ","Raspopova","1:58.30","2000","800-metres"
"Claudia ","Gesell","1:58.34","2000","800-metres"
"Stephanie ","Graf","1:58.39","2000","800-metres"
"Kelly ","Holmes","1:58.45","2000","800-metres"
"Hasna ","Benhassi","1:58.47","2000","800-metres"
"Brigita ","Langerholc","1:58.51","2000","800-metres"
"Irina ","Mistyukevich","1:58.52","2000","800-metres"
"Claudia ","Gesell","1:58.56","2000","800-metres"
"Helena ","Fuchsová","1:58.56","2000","800-metres"
"Stephanie ","Graf","1:58.62","2000","800-metres"
"Letitia ","Vriesde","1:58.62","2000","800-metres"
"Zulia ","Calatayud","1:58.66","2000","800-metres"
"Irina ","Mistyukevich","1:58.69","2000","800-metres"
"Hazel ","Clark","1:58.75","2000","800-metres"
"Marina ","Anisimova","1:58.77","2000","800-metres"
"Helena ","Fuchsová","1:58.82","2000","800-metres"
"Claudia ","Gesell","1:58.83","2000","800-metres"
"Maria de Lurdes ","Mutola","1:58.86","2000","800-metres"
"Olga ","Raspopova","1:58.91","2000","800-metres"
"Hazel ","Clark","1:58.97","2000","800-metres"
"Hazel ","Clark","1:58.97","2000","800-metres"
"Helena ","Fuchsová","1:58.97","2000","800-metres"
"Ludmila ","Formanová","1:58.98","2000","800-metres"
"Hasna ","Benhassi","1:59.01","2000","800-metres"
"Brigita ","Langerholc","1:59.05","2000","800-metres"
"Sandra ","Stals","1:59.09","2000","800-metres"
"Jearl ","Miles Clark","1:59.12","2000","800-metres"
"Jolanda ","Batagelj","1:55.19","2002","800-metres"
"Zulia ","Calatayud","1:56.09","2002","800-metres"
"Maria de Lurdes ","Mutola","1:56.16","2002","800-metres"
"Maria de Lurdes ","Mutola","1:56.25","2002","800-metres"
"Maria de Lurdes ","Mutola","1:57.24","2002","800-metres"
"Maria de Lurdes ","Mutola","1:57.35","2002","800-metres"
"Jolanda ","Batagelj","1:57.63","2002","800-metres"
"Jolanda ","Batagelj","1:57.65","2002","800-metres"
"Jolanda ","Batagelj","1:57.78","2002","800-metres"
"Nicole ","Teter","1:57.97","2002","800-metres"
"Nicole ","Teter","1:58.13","2002","800-metres"
"Maria de Lurdes ","Mutola","1:58.23","2002","800-metres"
"Mayte ","Martínez","1:58.29","2002","800-metres"
"Jearl ","Miles Clark","1:58.41","2002","800-metres"
"Maria de Lurdes ","Mutola","1:58.50","2002","800-metres"
"Zulia ","Calatayud","1:58.51","2002","800-metres"
"Jolanda ","Batagelj","1:58.55","2002","800-metres"
"Maria de Lurdes ","Mutola","1:58.60","2002","800-metres"
"Zulia ","Calatayud","1:58.61","2002","800-metres"
"Jolanda ","Batagelj","1:58.63","2002","800-metres"
"Olga ","Raspopova","1:58.63","2002","800-metres"
"Jolanda ","Batagelj","1:58.64","2002","800-metres"
"Diane ","Cummins","1:58.79","2002","800-metres"
"Diane ","Cummins","1:58.82","2002","800-metres"
"Nicole ","Teter","1:58.83","2002","800-metres"
"Svetlana ","Cherkasova","1:58.84","2002","800-metres"
"Olga ","Raspopova","1:58.84","2002","800-metres"
"Mayte ","Martínez","1:58.86","2002","800-metres"
"Irina ","Mistyukevich","1:58.90","2002","800-metres"
"Sandra ","Stals","1:58.92","2002","800-metres"
"Brigita ","Langerholc","1:58.97","2002","800-metres"
"Ivonne ","Teichmann","1:59.06","2002","800-metres"
"Maria de Lurdes ","Mutola","1:59.06","2002","800-metres"
"Ludmila ","Formanová","1:59.09","2002","800-metres"
"Agnes ","Samaria","1:59.15","2002","800-metres"
"Irina ","Mistyukevich","1:59.19","2002","800-metres"
"Zulia ","Calatayud","1:59.22","2002","800-metres"
"Natallia ","Dziadkova","1:59.24","2002","800-metres"
"Mayte ","Martínez","1:59.24","2002","800-metres"
"Svetlana ","Cherkasova","1:59.26","2002","800-metres"
"Susan ","Scott","1:59.30","2002","800-metres"
"Zulia ","Calatayud","1:59.33","2002","800-metres"
