first_name,second_name,time,year,distance,time_in_seconds
Pamela ,Jelimo,1:54.01,2008,800-metres,114.00999999999999
Jolanda ,Batagelj,1:55.19,2002,800-metres,115.19
Caster ,Semenya,1:55.28,2016,800-metres,115.28
Caster ,Semenya,1:55.45,2009,800-metres,115.45
Maria de Lurdes ,Mutola,1:55.55,2003,800-metres,115.55
Mariya ,Savinova,1:55.87,2011,800-metres,115.87
Tatyana ,Andrianova,1:56.00,2008,800-metres,116.0
Janeth Jepkosgei ,Busienei,1:56.04,2007,800-metres,116.03999999999999
Janeth Jepkosgei ,Busienei,1:56.07,2008,800-metres,116.07
Tatyana ,Andrianova,1:56.07,2005,800-metres,116.07
Zulia ,Calatayud,1:56.09,2002,800-metres,116.09
Maria de Lurdes ,Mutola,1:56.15,2000,800-metres,116.15
Maria de Lurdes ,Mutola,1:56.16,2002,800-metres,116.16
Mariya ,Savinova,1:56.19,2012,800-metres,116.19
Tatyana ,Andrianova,1:56.23,2004,800-metres,116.22999999999999
Francine ,Niyonsaba,1:56.24,2016,800-metres,116.24000000000001
Caster ,Semenya,1:56.35,2011,800-metres,116.35
Kelly ,Holmes,1:56.38,2004,800-metres,116.38
Hasna ,Benhassi,1:56.43,2004,800-metres,116.43
Jolanda ,Batagelj,1:56.43,2004,800-metres,116.43
Maria de Lurdes ,Mutola,1:56.51,2004,800-metres,116.50999999999999
Natalya ,Khrushcheleva,1:56.59,2004,800-metres,116.59
Francine ,Niyonsaba,1:56.59,2012,800-metres,116.59
Natalya ,Tsyganova,1:56.60,2000,800-metres,116.6
Stephanie ,Graf,1:56.64,2000,800-metres,116.64
Svetlana ,Klyuka,1:56.64,2008,800-metres,116.64
Janeth Jepkosgei ,Busienei,1:56.66,2006,800-metres,116.66
Ekaterina ,Kostetskaya,1:56.67,2008,800-metres,116.67
Francine ,Niyonsaba,1:56.72,2013,800-metres,116.72
Hasna ,Benhassi,1:56.73,2008,800-metres,116.72999999999999
Pamela ,Jelimo,1:56.76,2012,800-metres,116.75999999999999
Maria de Lurdes ,Mutola,1:56.77,2006,800-metres,116.77000000000001
Kelly ,Holmes,1:56.80,2000,800-metres,116.8
Hasna ,Benhassi,1:56.84,2007,800-metres,116.84
Olga ,Raspopova,1:56.85,2000,800-metres,116.85
Margaret Nyairera ,Wambui,1:56.89,2016,800-metres,116.89
Zulia ,Calatayud,1:56.91,2006,800-metres,116.91
Svetlana ,Cherkasova,1:56.93,2005,800-metres,116.93
Maria de Lurdes ,Mutola,1:56.98,2007,800-metres,116.97999999999999
Eunice Jepkoech ,Sum,1:56.99,2015,800-metres,116.99000000000001
Melissa ,Bishop,1:57.02,2016,800-metres,117.02000000000001
Yuliya ,Fomenko,1:57.07,2006,800-metres,117.07
Ekaterina ,Kostetskaya,1:57.19,2011,800-metres,117.19
Svetlana ,Klyuka,1:57.21,2006,800-metres,117.21000000000001
Svetlana ,Cherkasova,1:57.23,2006,800-metres,117.22999999999999
Caster ,Semenya,1:57.23,2012,800-metres,117.22999999999999
Olga ,Kotlyarova,1:57.24,2006,800-metres,117.24000000000001
Jearl ,Miles Clark,1:57.27,2004,800-metres,117.27000000000001
Elena ,Soboleva,1:57.28,2006,800-metres,117.28
Yuliya ,Krevsun,1:57.32,2008,800-metres,117.32
Larisa ,Chzhao,1:57.33,2005,800-metres,117.33
Alysia ,Montaño,1:57.34,2010,800-metres,117.34
Tetiana ,Petlyuk,1:57.34,2006,800-metres,117.34
Svetlana ,Klyuka,1:57.35,2005,800-metres,117.35
Alysia ,Montaño,1:57.37,2012,800-metres,117.37
Joanna ,Józwik,1:57.37,2016,800-metres,117.37
Eunice Jepkoech ,Sum,1:57.38,2013,800-metres,117.38
Janeth Jepkosgei ,Busienei,1:57.42,2011,800-metres,117.42
Jolanda ,Batagelj,1:57.44,2003,800-metres,117.44
Natalya ,Lavshuk,1:57.45,2004,800-metres,117.45
Eunice Jepkoech ,Sum,1:57.47,2016,800-metres,117.47
Alysia ,Montaño,1:57.48,2011,800-metres,117.47999999999999
Fantu ,Magiso,1:57.48,2012,800-metres,117.47999999999999
Irina ,Mistyukevich,1:57.49,2000,800-metres,117.49000000000001
Svetlana ,Cherkasova,1:57.50,2004,800-metres,117.5
Melissa ,Bishop,1:57.52,2015,800-metres,117.52000000000001
Ekaterina ,Poistogova,1:57.53,2012,800-metres,117.53
Ludmila ,Formanová,1:57.53,2000,800-metres,117.53
Marina ,Arzamasova,1:57.54,2015,800-metres,117.53999999999999
Olga ,Kotlyarova,1:57.55,2005,800-metres,117.55
Mariya ,Savinova,1:57.56,2010,800-metres,117.56
Francine ,Niyonsaba,1:57.62,2015,800-metres,117.62
Mayte ,Martínez,1:57.62,2007,800-metres,117.62
Yuliya ,Krevsun,1:57.63,2007,800-metres,117.63
Malika ,Akkaoui,1:57.64,2013,800-metres,117.64
Ajee ,Wilson,1:57.67,2014,800-metres,117.67
Molly ,Beckwith-Ludlow,1:57.68,2016,800-metres,117.68
Maria de Lurdes ,Mutola,1:57.68,2008,800-metres,117.68
Lynsey ,Sharp,1:57.69,2016,800-metres,117.69
Rose Mary ,Almanza,1:57.70,2015,800-metres,117.7
Lynsey ,Sharp,1:57.71,2015,800-metres,117.71000000000001
Sahily ,Diago,1:57.74,2014,800-metres,117.74000000000001
Alysia ,Montaño,1:57.75,2013,800-metres,117.75
Nancy Jebet ,Langat,1:57.75,2010,800-metres,117.75
Elena ,Kotulskaya,1:57.77,2012,800-metres,117.77000000000001
Janeth Jepkosgei ,Busienei,1:57.79,2012,800-metres,117.78999999999999
Maryam Yusuf ,Jamal,1:57.80,2008,800-metres,117.8
Mariya ,Savinova,1:57.80,2013,800-metres,117.8
Irina ,Maracheva,1:57.82,2012,800-metres,117.82
Janeth Jepkosgei ,Busienei,1:57.82,2005,800-metres,117.82
Mina ,Aït Hammou,1:57.82,2003,800-metres,117.82
Janeth Jepkosgei ,Busienei,1:57.84,2010,800-metres,117.84
Maggie ,Vessey,1:57.84,2009,800-metres,117.84
Anna ,Alminova,1:57.86,2009,800-metres,117.86
Ajee ,Wilson,1:57.87,2015,800-metres,117.87
Kenia ,Sinclair,1:57.88,2006,800-metres,117.88
Janeth Jepkosgei ,Busienei,1:57.90,2009,800-metres,117.9
Mariya ,Savinova,1:57.90,2009,800-metres,117.9
Mariya ,Shapaeva Zhuravleva,1:57.9,2008,800-metres,117.9
Brenda ,Martinez,1:57.91,2013,800-metres,117.91
Zulia ,Calatayud,1:57.92,2005,800-metres,117.92
Eunice Jepkoech ,Sum,1:57.92,2014,800-metres,117.92
